Toy Story (1995);http://www.imdb.com/title/tt0114709/
Jumanji (1995);http://www.imdb.com/title/tt0113497/
Grumpier Old Men (1995);http://www.imdb.com/title/tt0113228/
Waiting to Exhale (1995);http://www.imdb.com/title/tt0114885/
Father of the Bride Part II (1995);http://www.imdb.com/title/tt0113041/
Heat (1995);http://www.imdb.com/title/tt0113277/
Sabrina (1995);http://www.imdb.com/title/tt0114319/
Tom and Huck (1995);http://www.imdb.com/title/tt0112302/
Sudden Death (1995);http://www.imdb.com/title/tt0114576/
GoldenEye (1995);http://www.imdb.com/title/tt0113189/
American President, The (1995);http://www.imdb.com/title/tt0112346/
Dracula: Dead and Loving It (1995);http://www.imdb.com/title/tt0112896/
Balto (1995);http://www.imdb.com/title/tt0112453/
Nixon (1995);http://www.imdb.com/title/tt0113987/
Cutthroat Island (1995);http://www.imdb.com/title/tt0112760/
Casino (1995);http://www.imdb.com/title/tt0112641/
Sense and Sensibility (1995);http://www.imdb.com/title/tt0114388/
Four Rooms (1995);http://www.imdb.com/title/tt0113101/
Ace Ventura: When Nature Calls (1995);http://www.imdb.com/title/tt0112281/
Money Train (1995);http://www.imdb.com/title/tt0113845/
Get Shorty (1995);http://www.imdb.com/title/tt0113161/
Copycat (1995);http://www.imdb.com/title/tt0112722/
Assassins (1995);http://www.imdb.com/title/tt0112401/
Powder (1995);http://www.imdb.com/title/tt0114168/
Leaving Las Vegas (1995);http://www.imdb.com/title/tt0113627/
Othello (1995);http://www.imdb.com/title/tt0114057/
Now and Then (1995);http://www.imdb.com/title/tt0114011/
Persuasion (1995);http://www.imdb.com/title/tt0114117/
City of Lost Children, The (Cité des enfants perdus, La) (1995);http://www.imdb.com/title/tt0112682/
Dangerous Minds (1995);http://www.imdb.com/title/tt0112792/
Babe (1995);http://www.imdb.com/title/tt0112431/
Dead Man Walking (1995);http://www.imdb.com/title/tt0112818/
It Takes Two (1995);http://www.imdb.com/title/tt0113442/
Clueless (1995);http://www.imdb.com/title/tt0112697/
Cry, the Beloved Country (1995);http://www.imdb.com/title/tt0112749/
Richard III (1995);http://www.imdb.com/title/tt0114279/
Dead Presidents (1995);http://www.imdb.com/title/tt0112819/
Restoration (1995);http://www.imdb.com/title/tt0114272/
Mortal Kombat (1995);http://www.imdb.com/title/tt0113855/
To Die For (1995);http://www.imdb.com/title/tt0114681/
How to Make an American Quilt (1995);http://www.imdb.com/title/tt0113347/
Pocahontas (1995);http://www.imdb.com/title/tt0114148/
When Night Is Falling (1995);http://www.imdb.com/title/tt0114916/
Usual Suspects, The (1995);http://www.imdb.com/title/tt14852766/
Mighty Aphrodite (1995);http://www.imdb.com/title/tt0113819/
Lamerica (1994);http://www.imdb.com/title/tt0110299/
Big Green, The (1995);http://www.imdb.com/title/tt0112499/
Georgia (1995);http://www.imdb.com/title/tt0113158/
Home for the Holidays (1995);http://www.imdb.com/title/tt0113321/
Postman, The (Postino, Il) (1994);http://www.imdb.com/title/tt0110877/
Indian in the Cupboard, The (1995);http://www.imdb.com/title/tt0113419/
Eye for an Eye (1996);http://www.imdb.com/title/tt0116260/
Mr. Holland's Opus (1995);http://www.imdb.com/title/tt0113862/
Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996);http://www.imdb.com/title/tt0116126/
Two if by Sea (1996);http://www.imdb.com/title/tt0118002/
Bio-Dome (1996);http://www.imdb.com/title/tt0115683/
Lawnmower Man 2: Beyond Cyberspace (1996);http://www.imdb.com/title/tt0116839/
French Twist (Gazon maudit) (1995);http://www.imdb.com/title/tt0113149/
Friday (1995);http://www.imdb.com/title/tt0113118/
From Dusk Till Dawn (1996);http://www.imdb.com/title/tt0116367/
Fair Game (1995);http://www.imdb.com/title/tt0113010/
Kicking and Screaming (1995);http://www.imdb.com/title/tt0113537/
Misérables, Les (1995);http://www.imdb.com/title/tt0113828/
Bed of Roses (1996);http://www.imdb.com/title/tt0115644/
Big Bully (1996);http://www.imdb.com/title/tt0115676/
Screamers (1995);http://www.imdb.com/title/tt0114367/
Nico Icon (1995);http://www.imdb.com/title/tt0113973/
Crossing Guard, The (1995);http://www.imdb.com/title/tt10129264/
Juror, The (1996);http://www.imdb.com/title/tt0116731/
White Balloon, The (Badkonake sefid) (1995);http://www.imdb.com/title/tt0112445/
